reg_no | sem | branch_code | subject_code | subject_name | subject_type | credit | old_shown_grade | new_shown_grade | should_be_grade | shown_gp | corrected_gp | delta_points | new_ese | new_ia | new_total | old_result_url | new_result_url
22101139001 | II | 101 | 100203 | CHEMISTRY | theory | 4.00 | F | B | A | 8 | 9 | 4.00 | 59^ | 27 | 86 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101139001 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101139001&exam_held=November%2F2025
22101140007 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | D | C | 6 | 7 | 4.00 | 37^ | 25 | 62 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101140007 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101140007&exam_held=November%2F2025
22101140010 | II | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | theory | 1.00 | F | P | D | 5 | 6 | 1.00 | 30^ | 27 | 57 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101140010 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101140010&exam_held=November%2F2025
22101140013 | II | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | theory | 1.00 | F | P | D | 5 | 6 | 1.00 | 30^ | 23 | 53 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101140013 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101140013&exam_held=November%2F2025
22101140013 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | D | C | 6 | 7 | 4.00 | 33^ | 27 | 60 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101140013 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101140013&exam_held=November%2F2025
22101140014 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | D | C | 6 | 7 | 4.00 | 39^ | 27 | 66 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101140014 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101140014&exam_held=November%2F2025
22101141001 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 26^ | 27 | 53 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141001 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141001&exam_held=November%2F2025
22101141004 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 31^ | 27 | 58 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141004 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141004&exam_held=November%2F2025
22101141009 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 26^ | 27 | 53 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141009 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141009&exam_held=November%2F2025
22101141019 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 34^ | 25 | 59 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141019 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141019&exam_held=November%2F2025
22101141020 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 30^ | 23 | 53 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141020 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141020&exam_held=November%2F2025
22101141028 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 28^ | 24 | 52 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141028 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141028&exam_held=November%2F2025
22101141037 | II | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | theory | 4.00 | F | P | D | 5 | 6 | 4.00 | 34^ | 19 | 53 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141037 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141037&exam_held=November%2F2025
22101141048 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 30^ | 23 | 53 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141048 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141048&exam_held=November%2F2025
22101141051 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 30^ | 27 | 57 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141051 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141051&exam_held=November%2F2025
22101142019 | II | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | theory | 1.00 | F | D | C | 6 | 7 | 1.00 | 42^ | 20 | 62 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101142019 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101142019&exam_held=November%2F2025
22101142022 | II | 101 | 100206 | ENGLISH | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 35^ | 28 | 63 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101142022 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101142022&exam_held=November%2F2025
22101142031 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | D | C | 6 | 7 | 3.00 | 35^ | 25 | 60 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101142031 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101142031&exam_held=November%2F2025
22101142035 | II | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | theory | 3.00 | F | D | C | 6 | 7 | 3.00 | 37^ | 26 | 63 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101142035 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101142035&exam_held=November%2F2025
22101142036 | II | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | theory | 1.00 | F | D | C | 6 | 7 | 1.00 | 52^ | 15 | 67 | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101142036 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101142036&exam_held=November%2F2025
