reg_no | branch_code | penalized_subject_codes | subject_names | old_shown_grades | new_shown_grades | should_be_grades | shown_sgpa | corrected_sgpa | shown_cgpa | corrected_cgpa | status | old_result_url | new_result_url
22101141028 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 6.46 | 6.61 | 6.26 | 6.34 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141028 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141028&exam_held=November%2F2025
22101141037 | 101 | 101202 | MATHEMATICS - II (DIFFERENTIAL EQUATIONS) | F | P | D | 7.24 | 7.44 | 6.92 | 7.02 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141037 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141037&exam_held=November%2F2025
22101141048 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 7 | 7.15 | 6.51 | 6.59 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141048 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141048&exam_held=November%2F2025
22101141051 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 6.8 | 6.95 | 6.45 | 6.53 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101141051 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101141051&exam_held=November%2F2025
22101142019 | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | D | C | 7.78 | 7.83 | 7.08 | 7.11 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101142019 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101142019&exam_held=November%2F2025
22101142022 | 101 | 100206 | ENGLISH | F | D | C | 7.39 | 7.49 | 7.12 | 7.17 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101142022 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101142022&exam_held=November%2F2025
22101142031 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | D | C | 6.37 | 6.51 | 6.16 | 6.23 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101142031 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101142031&exam_held=November%2F2025
22101142035 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | D | C | 7.44 | 7.59 | 6.93 | 7.01 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101142035 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101142035&exam_held=November%2F2025
22101142036 | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | D | C | 6.32 | 6.37 | 6.54 | 6.57 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101142036 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101142036&exam_held=November%2F2025
22101144026 | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | P | D | 7.44 | 7.49 | 6.95 | 6.97 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101144026 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101144026&exam_held=November%2F2025
22101144046 | 101 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 6.9 | 7.05 | 6.68 | 6.76 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101144046 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101144046&exam_held=November%2F2025
22101144053 | 101 | 100204,100205 | PROGRAMMING FOR PROBLEM SOLVING,WORKSHOP MANUFACTURING PRACTICES | F,F | P,P | D,D | 6.76 | 6.95 | 6 | 6.10 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101144053 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101144053&exam_held=November%2F2025
22101145026 | 101 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | P | D | 6.02 | 6.07 | 6.26 | 6.29 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101145026 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101145026&exam_held=November%2F2025
22101145034 | 101 | 100203 | CHEMISTRY | F | P | D | 6.17 | 6.37 | 6.21 | 6.32 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2023_B2022Pub.aspx?Sem=II&RegNo=22101145034 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=22101145034&exam_held=November%2F2025
